# Make a gift redirects
makeagift.ucsf.edu/hopeCOVID19	https://giving.ucsf.edu/fund/01t8Z00000BdTw5QAF
makeagift.ucsf.edu/peabody	https://giving.ucsf.edu/fund/other?giftComments=Institute for Global Health Fund zzzB1800&tribute=2&tributeFullName=John and Camellia Peabody
makeagift.ucsf.edu/LaiResearchFund	https://giving.ucsf.edu/fund/01t8Z00000AdbBGQAZ
makeagift.ucsf.edu/Conant	https://giving.ucsf.edu/fund/other?giftComments=Marcus Conant, MD Endowment for HIV Dermatology and LGBTQ Health zzz7902646-SFFDN
makeagift.ucsf.edu/mfm	https://giving.ucsf.edu/fund/other?giftComments=Maternal Fetal Medicine Program (B2737)
makeagift.ucsf.edu/MovementDisordersandNeuromodulation	https://giving.ucsf.edu/fund/01t8Z00000BdTt3QAF
makeagift.ucsf.edu/orthoticsandprosthetics	https://giving.ucsf.edu/fund/other?giftComments=Orthotics and Prosthetics Gift Fund (B3067)
makeagift.ucsf.edu/PARC	https://giving.ucsf.edu/fund/other?giftComments=Pain and Addiction Research Center (B9181)
makeagift.ucsf.edu/PH	https://giving.ucsf.edu/fund/other?giftComments=Pediatric Pulmonary Hypertension (B3178)
makeagift.ucsf.edu/pcos	https://giving.ucsf.edu/fund/01t8Z00000AdaawQAB
makeagift.ucsf.edu/surgicalinternship	https://giving.ucsf.edu/fund/other?giftComments=Pre-Medical Surgical Internship Program at UCSF Fresnozzz7031777-SFFDN
makeagift.ucsf.edu/Psilocybin	https://giving.ucsf.edu/fund/other?giftComments=Psilocybin Study - B7586
makeagift.ucsf.edu/qbi	https://giving.ucsf.edu/fund/01t8Z00000AdaZeQAJ
makeagift.ucsf.edu/desikan	https://giving.ucsf.edu/fund/other?giftComments=Research Support Fund - Desikan (B7886)
makeagift.ucsf.edu/rosenman	https://giving.ucsf.edu/fund/other?giftComments=Rosenman Institute (B7061)
makeagift.ucsf.edu/sicklecell	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000AdaOTQAZ
makeagift.ucsf.edu/sbs	https://giving.ucsf.edu/fund/other?giftComments=Social and Behavioral Science Discretionary Fund (B7192)
makeagift.ucsf.edu/picu	https://donate.ucsfbenioffchildrens.org/fund/01t8Z00000BdTzwQAF
makeagift.ucsf.edu/bioethics	https://giving.ucsf.edu/fund/other?giftComments=The UCSF Program for Bioethics (B8011)
makeagift.ucsf.edu/DependentCare	https://giving.ucsf.edu/fund/other?giftComments=UCSF Dependent Care Philanthropy Fund (B9080)
makeagift.ucsf.edu/epilepsy	https://giving.ucsf.edu/fund/01t8Z00000BdU1uQAF
makeagift.ucsf.edu/MSKCenter	https://giving.ucsf.edu/fund/other?giftComments=UCSF Musculoskeletal Center (B9251)
makeagift.ucsf.edu/qbiip	https://giving.ucsf.edu/fund/other?giftComments=UCSF QBI and Institut Pasteur Fund zzz7031582-SFFDN
makeagift.ucsf.edu/Greenspan	https://giving.ucsf.edu/fund/other?giftComments=UCSF School of Dentistry Greenspan Fundzzz7031571-SFFDN
makeagift.ucsf.edu/piano	makeagift.ucsf.edu/piano
makeagift.ucsf.edu/olesen	https://giving.ucsf.edu/fund/01t8Z00000BdTvQQAV
makeagift.ucsf.edu/Sanford	https://giving.ucsf.edu/category/cancer?&utm_source=web&utm_medium=obit&utm_campaign=IMO_Diller
makeagift.ucsf.edu/DrRugo	https://giving.ucsf.edu/fund/other?giftComments=Dr. Rugo's Breast Cancer Research (B3363)
makeagift.ucsf.edu/Venook	https://giving.ucsf.edu/fund/other?giftComments=Dr. Venook Cancer Research Fund (B0683)
makeagift.ucsf.edu/vanloon	https://giving.ucsf.edu/fund/other?giftComments=Gastrointestinal Oncology Research - Van Loon (B3193)
makeagift.ucsf.edu/Nguyen	https://giving.ucsf.edu/fund/other?giftComments=Hao Nguyen Research Fund (B7865)
makeagift.ucsf.edu/kelley	https://giving.ucsf.edu/fund/other?giftComments=Hematology Oncology Research-Kelley (B2947)
makeagift.ucsf.edu/greenwood	https://giving.ucsf.edu/fund/other?giftComments=Robin Beth Greenwood Memorial Fund for Breast Cancer Research (B7187)
makeagift.ucsf.edu/PedsDentFundforExcellence	https://giving.ucsf.edu/fund/01t8Z00000BdU3dQAF
makeagift.ucsf.edu/PedsDentClinic	https://giving.ucsf.edu/fund/other?giftComments=Pediatric Dental Clinic (B7135)
makeagift.ucsf.edu/PediatricDentistryClinic	https://giving.ucsf.edu/fund/other?giftComments=Pediatric Dental Clinic (B7135)
makeagift.ucsf.edu/PedsDentOutreach	https://giving.ucsf.edu/fund/other?giftComments=Pediatric Dentistry Outreach (B7371)
makeagift.ucsf.edu/B2118	https://giving.ucsf.edu/fund/01t8Z00000BdU11QAF
makeagift.ucsf.edu/residencyeducation	https://giving.ucsf.edu/fund/01t8Z00000BdU5MQAV
makeagift.ucsf.edu/fox	https://giving.ucsf.edu/fund/01t8Z00000BdTrWQAV
makeagift.ucsf.edu/foxfund	https://giving.ucsf.edu/fund/01t8Z00000BdU5TQAV
makeagift.ucsf.edu/OrthoTraumaFund	https://giving.ucsf.edu/fund/01t8Z00000AdhemQAB
makeagift.ucsf.edu/edp	https://giving.ucsf.edu/fund/01t8Z00000AdjaKQAR
makeagift.ucsf.edu/mood	https://giving.ucsf.edu/fund/other?giftComments=Psychiatry&Other=Mood Disorder Program Expendable Fund (B7352)
makeagift.ucsf.edu/NurseMidwiferyProgram	https://giving.ucsf.edu/fund/01t8Z00000BdTvFQAV
makeagift.ucsf.edu/MidwiferyMentoringandBelongingProgram	https://giving.ucsf.edu/fund/other?giftComments=Midwifery Mentoring and Belonging Fund (B8962)
makeagift.ucsf.edu/whp	https://giving.ucsf.edu/fund/01t8Z00000BdTw3QAF
makeagift.ucsf.edu/stenzelfund	https://giving.ucsf.edu/fund/other?giftComments=
makeagift.ucsf.edu/kintalk	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV
makeagift.ucsf.edu/MedResidents	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV
makeagift.ucsf.edu/DogTherapy	https://giving.ucsf.edu/fund/other?giftComments=Dog Therapy
makeagift.ucsf.edu/quincy	https://giving.ucsf.edu/category/0ZG8Z000000oYJ3WAM?utm_source=Pediatric_Cancer_video&utm_medium=video
makeagift.ucsf.edu/mei	https://giving.ucsf.edu/fund/other?giftComments=Global Health Group (B2800)&appealCode=FY23TMEI
makeagift.ucsf.edu/justice	https://giving.ucsf.edu/fund/other?giftComments=Justice, Social Sciences and Health Fund (B1381)&appealCode=AHP18
makeagift.ucsf.edu/MichelleHsiang	https://giving.ucsf.edu/fund/other?giftComments=Michelle Hsiang Gift Fund zzz7031292-SFFDN
makeagift.ucsf.edu/star	https://giving.ucsf.edu/fund/other?giftComments=The Carroll Estes Rising Star Award (B7843)
makeagift.ucsf.edu/fibroidcenter	https://giving.ucsf.edu/fund/01t8Z00000BdTxzQAF
makeagift.ucsf.edu/lungfund	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV
makeagift.ucsf.edu/heartfund	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV
makeagift.ucsf.edu/wecare	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=K4VV1
makeagift.ucsf.edu/AME-innovations	https://giving.ucsf.edu/fund/01t8Z00000BdTtEQAV
makeagift.ucsf.edu/Ramachandran	https://giving.ucsf.edu/fund/other?giftComments=J. Ramachandran PhD Neuro-Oncology Fellowship (S8285)&tribute=2&tributeFullName=Janakiraman Ramachandran
makeagift.ucsf.edu/wpc11	https://giving.ucsf.edu/fund/other?giftComments=Cancer Program&Allocation=Pancreatic Cancer research at the UCSF Pancreas Cancer Program&appealCode=WPC11
makeagift.ucsf.edu/ACF	https://giving.ucsf.edu/fund/01t8Z00000AdaUXQAZ
makeagift.ucsf.edu/DAA	https://giving.ucsf.edu/category/0ZG8Z000000oYKNWA2?appealCode=DEN9F
makeagift.ucsf.edu/EFA	https://giving.ucsf.edu/category/0ZG8Z000000oYKNWA2
makeagift.ucsf.edu/G1AN1	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=G1AN1
makeagift.ucsf.edu/CardioCouncil	https://giving.ucsf.edu/fund/01t8Z00000BdTr5QAF
makeagift.ucsf.edu/chancellorcircle	https://giving.ucsf.edu/fund/01t8Z00000AdaUXQAZ?appealCode=23CWEB
makeagift.ucsf.edu/circle	https://giving.ucsf.edu/fund/01t8Z00000AdaUXQAZ?appealCode=23CWEB
makeagift.ucsf.edu/cardiology	https://giving.ucsf.edu/category/0ZG8Z000000oYKDWA2?appealCode=23CWEB
makeagift.ucsf.edu/ArrhythmiaGeneticsResearch	https://giving.ucsf.edu/fund/other?giftComments=Arrhythmia Genetics Research (B2339)
makeagift.ucsf.edu/AtrialFibrillationAndCognitiveDecline	https://giving.ucsf.edu/fund/other?giftComments=Atrial Fibrillation and Cognitive Decline Research (B8078)
makeagift.ucsf.edu/CardiacStemCell	https://giving.ucsf.edu/fund/other?giftComments=Cardiac Stem Cell Translational Development Program (B1643)
makeagift.ucsf.edu/springer	https://giving.ucsf.edu/fund/other?giftComments=Cardiology Research - Springer (B3373)
makeagift.ucsf.edu/HeartandVascularDisease	https://giving.ucsf.edu/fund/other?giftComments=Center for Prevention of Heart and Vascular Disease (B2449)
makeagift.ucsf.edu/nurturecenter	https://giving.ucsf.edu/fund/other?giftComments=Dr. Albert Education, Research, and Advocacy Fund - NURTURE Center (B7522)
makeagift.ucsf.edu/Gerstenfeld	https://giving.ucsf.edu/fund/other?giftComments=Dr. Gerstenfeld Cardiology Research (B3233)
makeagift.ucsf.edu/Gerstenfeldlab	https://giving.ucsf.edu/fund/other?giftComments=Dr. Gerstenfeld Cardiology Research (B3233)
makeagift.ucsf.edu/arnaout	https://giving.ucsf.edu/fund/01t8Z00000AdabfQAB
makeagift.ucsf.edu/healtheheart	https://giving.ucsf.edu/fund/other?giftComments=Health eHeart Fund (B3152)
makeagift.ucsf.edu/scd	https://giving.ucsf.edu/fund/other?giftComments=UCSF Center for the Prevention of Sudden Cardiac Death (B7128)
makeagift.ucsf.edu/ColitisandCrohns	https://giving.ucsf.edu/fund/01t8Z00000BdU3GQAV
makeagift.ucsf.edu/Mahadevan	https://giving.ucsf.edu/fund/01t8Z00000BdTvQQAV
makeagift.ucsf.edu/GTNP	https://giving.ucsf.edu/fund/01t8Z00000AdaCyQAJ
makeagift.ucsf.edu/Meri	https://giving.ucsf.edu/fund/01t8Z00000AdaBOQAZ?appealCode=MER20
makeagift.ucsf.edu/priorityregistry	https://giving.ucsf.edu/fund/other?giftComments=PRIORITY: Pregnancy CoRonavIrus Outcomes RegIsTrY (B8993)
makeagift.ucsf.edu/AllianceHealth	https://giving.ucsf.edu/fund/01t8Z00000BdTvlQAF
makeagift.ucsf.edu/craniofacial	https://giving.ucsf.edu/fund/01t8Z00000BdTrAQAV
makeagift.ucsf.edu/B0395	https://giving.ucsf.edu/fund/01t8Z00000BdTtiQAF
makeagift.ucsf.edu/neuroblastoma	https://giving.ucsf.edu/fund/01t8Z00000BdTnwQAF
makeagift.ucsf.edu/kanaya	https://giving.ucsf.edu/fund/01t8Z00000BdTtQQAV
makeagift.ucsf.edu/masalastudy	https://giving.ucsf.edu/fund/01t8Z00000BdTtQQAV
makeagift.ucsf.edu/nephrology	https://giving.ucsf.edu/fund/01t8Z00000BdTyhQAF
makeagift.ucsf.edu/pkd	https://giving.ucsf.edu/fund/01t8Z00000BdTyhQAF
makeagift.ucsf.edu/silverlining	https://giving.ucsf.edu/fund/01t8Z00000BdTu2QAF
makeagift.ucsf.edu/nadel	https://giving.ucsf.edu/fund/01t8Z00000BdTybQAF
makeagift.ucsf.edu/dom	https://giving.ucsf.edu/category/0ZG8Z000000oYJbWAM?appealCode=MDRZW
makeagift.ucsf.edu/DGIM	https://giving.ucsf.edu/fund/other?giftComments=Department of General Internal Medicine Resident Education Fund (B2263)&appealCode=DGMZW
makeagift.ucsf.edu/pathology	https://giving.ucsf.edu/fund/01t8Z00000BdTsvQAF
makeagift.ucsf.edu/pediatrics	https://giving.ucsf.edu/fund/01t8Z00000BdTpqQAF
makeagift.ucsf.edu/NBRI	https://giving.ucsf.edu/fund/01t8Z00000BdToGQAV
makeagift.ucsf.edu/childrensrenalcenter	https://giving.ucsf.edu/fund/other?giftComments=Children's Renal Center (B1423)
makeagift.ucsf.edu/clark	https://giving.ucsf.edu/fund/01t8Z00000BdU6QQAV
makeagift.ucsf.edu/pulmonary	https://giving.ucsf.edu/fund/01t8Z00000BdTzuQAF
makeagift.ucsf.edu/palliativecare	https://giving.ucsf.edu/fund/01t8Z00000BdTzNQAV
makeagift.ucsf.edu/ILD	https://giving.ucsf.edu/fund/01t8Z00000BdTydQAF
makeagift.ucsf.edu/familymedicine	https://giving.ucsf.edu/fund/01t8Z00000BdTvqQAF
makeagift.ucsf.edu/ccc	https://giving.ucsf.edu/fund/01t8Z00000BdTvNQAV
makeagift.ucsf.edu/Geriatrics	https://giving.ucsf.edu/fund/other?giftComments=Geriatrics
makeagift.ucsf.edu/healthpolicy	https://giving.ucsf.edu/fund/01t8Z00000BdTqwQAF
makeagift.ucsf.edu/nextgen	https://giving.ucsf.edu/fund/01t8Z00000BdU2wQAF
makeagift.ucsf.edu/ncsp	https://giving.ucsf.edu/fund/01t8Z00000BdTqwQAF
makeagift.ucsf.edu/healthpolicystudies	https://giving.ucsf.edu/fund/01t8Z00000BdTqwQAF?appealCode=HP9EW
makeagift.ucsf.edu/ihps	https://giving.ucsf.edu/fund/01t8Z00000BdTqwQAF?appealCode=HPSZW
makeagift.ucsf.edu/IgEquity	https://giving.ucsf.edu/fund/01t8Z00000BdTqnQAF
makeagift.ucsf.edu/OoCR	https://giving.ucsf.edu/fund/01t8Z00000BdTs3QAF
makeagift.ucsf.edu/ImmunoTEX	https://giving.ucsf.edu/fund/01t8Z00000BdTs3QAF
makeagift.ucsf.edu/ImmunoDiverse	https://giving.ucsf.edu/fund/01t8Z00000AdaQrQAJ
makeagift.ucsf.edu/ihg	https://giving.ucsf.edu/fund/01t8Z00000BdU5IQAV
makeagift.ucsf.edu/GeneticCounseling	https://giving.ucsf.edu/fund/01t8Z00000BdU4fQAF
makeagift.ucsf.edu/LCOE	https://giving.ucsf.edu/fund/01t8Z00000BdU01QAF?giftChoice=50
makeagift.ucsf.edu/schools	https://giving.ucsf.edu/category/0ZG8Z000000oYJVWA2?appealCode=AEA19
makeagift.ucsf.edu/education	https://giving.ucsf.edu/category/0ZG8Z000000oYJVWA2?appealCode=AEA19
makeagift.ucsf.edu/studentsupport	https://giving.ucsf.edu/category/0ZG8Z000000oYJVWA2
makeagift.ucsf.edu/alumni	https://giving.ucsf.edu/category/detail/0ZG8Z000000oYKNWA2?appealCode=11AWEB&utm_medium=print&utm_source=ASGVANITY&utm_campaign=ASGGP
makeagift.ucsf.edu/supporter	https://giving.ucsf.edu/fund/01t8Z00000BdU7lQAF
makeagift.ucsf.edu/neurosciences	https://giving.ucsf.edu/fund/01t8Z00000BdTsWQAV
makeagift.ucsf.edu/MIGS-UroGyn	https://giving.ucsf.edu/category/0ZG8Z000000oYJdWAM
makeagift.ucsf.edu/directorscircle	https://giving.ucsf.edu/fund/01t8Z00000BdTyPQAV?appealCode=11XDIRW
makeagift.ucsf.edu/discoveryfellows	https://giving.ucsf.edu/fund/01t8Z00000BdTsfQAF
makeagift.ucsf.edu/EDS	https://giving.ucsf.edu/fund/other?giftComments=Ehlers-Danlos Research Fund B3198
makeagift.ucsf.edu/cmc	https://giving.ucsf.edu/fund/campaign-for-ucsf-medical-center-at-mission-bay/01t8Z00000BdU3WQAV?appealCode=EG15L
makeagift.ucsf.edu/COVID-19-Qualified-Disaster-Relief	https://giving.ucsf.edu/fund/01t8Z00000AdaBIQAZ?appealCode=EG21W
makeagift.ucsf.edu/employeegiving	https://giving.ucsf.edu/ways-to-give/employee-giving?appealcode=EGZWG
makeagift.ucsf.edu/employee	https://giving.ucsf.edu/ways-to-give/employee-giving?appealcode=EGZWG
makeagift.ucsf.edu/executive	https://giving.ucsf.edu/?appealcode=EXH8W
makeagift.ucsf.edu/CFsustaining	https://giving.ucsf.edu/fund/01t8Z00000BdTvwQAF?donationType=monthly&appealCode=E18W2
makeagift.ucsf.edu/CF	https://giving.ucsf.edu/fund/01t8Z00000BdTvwQAF?donationType=monthly&appealCode=E18W2
makeagift.ucsf.edu/general	https://giving.ucsf.edu/
makeagift.ucsf.edu/MUUCSFcommunity	https://giving.ucsf.edu/
makeagift.ucsf.edu/fundforucsf	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV
makeagift.ucsf.edu/care	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=FZGPW
makeagift.ucsf.edu/decode	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=G9FAW
makeagift.ucsf.edu/leverage	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=G9Y1W
makeagift.ucsf.edu/covid-19	https://giving.ucsf.edu/fund/01t8Z00000BdTw5QAF?appealCode=ZCA13
makeagift.ucsf.edu/coronavirus	https://giving.ucsf.edu/fund/01t8Z00000BdTw5QAF?appealCode=ZCA13
makeagift.ucsf.edu/GivingTuesday	https://giving.ucsf.edu?appealCode=11GGVTW
makeagift.ucsf.edu/donate	https://giving.ucsf.edu?appealCode=11GWEB
makeagift.ucsf.edu/leadership	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=11GWEB&giftChoice=1000
makeagift.ucsf.edu/grateful	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=11SBRAND&utm_medium=print&utm_source=ASGVANITY&utm_campaign=ASGGP
makeagift.ucsf.edu/landis	https://giving.ucsf.edu?appealCode=1CP13
makeagift.ucsf.edu/giving	https://giving.ucsf.edu/fund/01t8Z00000BdU7LQAV?appealCode=11YANNWG&utm_medium=print&utm_source=ASGVANITY&utm_campaign=ASGGP
makeagift.ucsf.edu/give	https://giving.ucsf.edu?appealCode=ASGRM
makeagift.ucsf.edu/mygift	https://giving.ucsf.edu?appealCode=ASGRW
makeagift.ucsf.edu/magazine	https://giving.ucsf.edu?appealCode=ENVMW&utm_source=magazine&utm_medium=shorturl&utm_campaign=remit
makeagift.ucsf.edu/EXH	https://giving.ucsf.edu/fund/other?AppealCode=EXH17&giftComments=The Patient Experience Fund (B1928)
makeagift.ucsf.edu/2021	https://giving.ucsf.edu?appealCode=G1TXW
makeagift.ucsf.edu/2019	https://giving.ucsf.edu?appealCode=G9TXW
makeagift.ucsf.edu/equity	https://giving.ucsf.edu?appealCode=G9Y2W
makeagift.ucsf.edu/year-end	https://giving.ucsf.edu?appealCode=G9Y3W
makeagift.ucsf.edu/researchers	https://giving.ucsf.edu?appealCode=G9YRW
makeagift.ucsf.edu/today	https://giving.ucsf.edu?appealCode=GL86W
makeagift.ucsf.edu/nursesday	https://giving.ucsf.edu?appealCode=GNW17
makeagift.ucsf.edu/givingsociety	https://giving.ucsf.edu?appealCode=GS16
makeagift.ucsf.edu/society	https://giving.ucsf.edu?appealCode=GS16
makeagift.ucsf.edu/thankyou	https://giving.ucsf.edu?appealCode=GTY18
makeagift.ucsf.edu/2018	https://giving.ucsf.edu?appealCode=TX17W
makeagift.ucsf.edu/tax2018	https://giving.ucsf.edu?appealCode=TX17X
makeagift.ucsf.edu/AI4ALL	https://giving.ucsf.edu/fund/other?giftComments=Bakar Institute Technology %26 Projects Fund - AI4ALL (B7933)&appealCode=ZCA11
